country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Singapore,1985,male,75+ years,23,15900,144.65,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,female,75+ years,19,24500,77.55,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,male,55-74 years,39,122400,31.86,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,female,55-74 years,25,125100,19.98,Singapore1985,,"19,138,296,376",8142,G.I. Generation
Singapore,1985,male,25-34 years,52,280500,18.54,Singapore1985,,"19,138,296,376",8142,Boomers
Singapore,1985,male,35-54 years,49,292500,16.75,Singapore1985,,"19,138,296,376",8142,Silent
Singapore,1985,female,25-34 years,35,266700,13.12,Singapore1985,,"19,138,296,376",8142,Boomers
Singapore,1985,male,15-24 years,27,268000,10.07,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1985,female,15-24 years,25,253400,9.87,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1985,female,35-54 years,27,285200,9.47,Singapore1985,,"19,138,296,376",8142,Silent
Singapore,1985,female,5-14 years,3,200400,1.5,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1985,male,5-14 years,0,215900,0,Singapore1985,,"19,138,296,376",8142,Generation X
Singapore,1986,female,75+ years,30,26000,115.38,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,male,75+ years,14,17200,81.4,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,male,55-74 years,44,125800,34.98,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,male,35-54 years,54,304500,17.73,Singapore1986,,"18,569,292,305",7805,Silent
Singapore,1986,male,25-34 years,46,288100,15.97,Singapore1986,,"18,569,292,305",7805,Boomers
Singapore,1986,female,55-74 years,20,128500,15.56,Singapore1986,,"18,569,292,305",7805,G.I. Generation
Singapore,1986,female,25-34 years,35,273000,12.82,Singapore1986,,"18,569,292,305",7805,Boomers
Singapore,1986,male,15-24 years,31,260000,11.92,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1986,female,35-54 years,34,297800,11.42,Singapore1986,,"18,569,292,305",7805,Silent
Singapore,1986,female,15-24 years,16,246400,6.49,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1986,male,5-14 years,2,213700,0.94,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1986,female,5-14 years,0,198300,0,Singapore1986,,"18,569,292,305",7805,Generation X
Singapore,1987,male,75+ years,17,18300,92.9,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,female,75+ years,16,27700,57.76,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,male,55-74 years,42,128900,32.58,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,female,55-74 years,29,132300,21.92,Singapore1987,,"20,897,630,201",8679,G.I. Generation
Singapore,1987,male,25-34 years,48,293500,16.35,Singapore1987,,"20,897,630,201",8679,Boomers
Singapore,1987,male,35-54 years,43,318100,13.52,Singapore1987,,"20,897,630,201",8679,Silent
Singapore,1987,female,25-34 years,36,277400,12.98,Singapore1987,,"20,897,630,201",8679,Boomers
Singapore,1987,female,35-54 years,33,311000,10.61,Singapore1987,,"20,897,630,201",8679,Silent
Singapore,1987,male,15-24 years,21,253600,8.28,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1987,female,15-24 years,16,240100,6.66,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1987,female,5-14 years,0,195600,0,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1987,male,5-14 years,0,211300,0,Singapore1987,,"20,897,630,201",8679,Generation X
Singapore,1988,male,75+ years,30,21600,138.89,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,female,75+ years,27,31800,84.91,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,male,55-74 years,43,131400,32.72,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,male,35-54 years,63,319100,19.74,Singapore1988,,"25,337,226,971",10586,Silent
Singapore,1988,male,25-34 years,52,288000,18.06,Singapore1988,,"25,337,226,971",10586,Boomers
Singapore,1988,female,55-74 years,23,136200,16.89,Singapore1988,,"25,337,226,971",10586,G.I. Generation
Singapore,1988,male,15-24 years,31,241600,12.83,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1988,female,25-34 years,33,277100,11.91,Singapore1988,,"25,337,226,971",10586,Boomers
Singapore,1988,female,15-24 years,25,229800,10.88,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1988,female,35-54 years,34,314300,10.82,Singapore1988,,"25,337,226,971",10586,Silent
Singapore,1988,female,5-14 years,4,193900,2.06,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1988,male,5-14 years,1,208600,0.48,Singapore1988,,"25,337,226,971",10586,Generation X
Singapore,1989,male,75+ years,25,22800,109.65,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,female,75+ years,33,33500,98.51,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,male,55-74 years,41,135300,30.3,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,female,55-74 years,33,141000,23.4,Singapore1989,,"30,423,573,842",12514,G.I. Generation
Singapore,1989,male,35-54 years,65,336500,19.32,Singapore1989,,"30,423,573,842",12514,Silent
Singapore,1989,male,25-34 years,50,290700,17.2,Singapore1989,,"30,423,573,842",12514,Boomers
Singapore,1989,female,15-24 years,35,224700,15.58,Singapore1989,,"30,423,573,842",12514,Generation X
Singapore,1989,female,25-34 years,38,280700,13.54,Singapore1989,,"30,423,573,842",12514,Boomers
Singapore,1989,male,15-24 years,32,236800,13.51,Singapore1989,,"30,423,573,842",12514,Generation X
Singapore,1989,female,35-54 years,40,329800,12.13,Singapore1989,,"30,423,573,842",12514,Silent
